begin_time,close_time,status,gender,birth_year,phone_type,stop_point,customer_id
3/1/2024 15:29,3/1/2024 15:30,fail,,NA,Apple,ocr-failed,9148
2/29/2024 14:24,2/29/2024 14:24,pending,,NA,Apple,otp-failed,9148
3/1/2024 15:31,3/1/2024 15:31,pending,,NA,Apple,otp-failed,9148
3/1/2024 15:32,3/1/2024 15:36,succeed,M,1984,Apple,account-creation,9148
1/27/2024 8:54,1/27/2024 8:54,pending,,NA,,otp-failed,9147
2/29/2024 14:20,2/29/2024 14:23,succeed,F,1990,Apple,account-creation,9147
3/3/2024 8:24,3/3/2024 8:24,pending,,NA,Apple,otp-failed,9146
2/29/2024 13:44,2/29/2024 13:44,pending,,NA,Apple,otp-failed,9146
3/3/2024 12:14,3/3/2024 12:17,succeed,M,1993,Apple,account-creation,9146
2/16/2024 11:30,2/16/2024 11:30,pending,,NA,Apple,otp-failed,9145
3/3/2024 20:51,3/3/2024 20:55,succeed,M,1981,Apple,account-creation,9144
3/2/2024 8:19,3/2/2024 8:20,fail,M,1981,Apple,ocr-failed,9144
3/3/2024 20:48,3/3/2024 20:48,pending,,NA,Apple,otp-failed,9144
3/3/2024 20:45,3/3/2024 20:45,pending,,NA,Apple,data-privacy-rejected,9144
3/2/2024 8:15,3/2/2024 8:19,fail,M,1981,Apple,ocr-failed,9144
3/2/2024 8:21,3/2/2024 8:22,fail,M,1981,Apple,ocr-failed,9144
3/1/2024 17:42,3/1/2024 17:42,pending,,NA,samsung,data-privacy-rejected,9143
3/1/2024 17:45,3/1/2024 17:49,fail,F,1974,samsung,selfie-failed,9143
3/2/2024 19:56,3/6/2024 10:54,succeed,F,1974,samsung,account-creation,9143
2/1/2024 11:01,2/1/2024 11:05,succeed,M,1991,Apple,account-creation,9142
3/1/2024 15:51,3/1/2024 15:54,succeed,F,1984,Apple,account-creation,9141
1/27/2024 10:53,1/27/2024 10:53,pending,,NA,,otp-failed,9141
2/2/2024 9:50,2/2/2024 16:37,succeed,F,1978,Apple,account-creation,9140
2/29/2024 20:11,2/29/2024 20:11,pending,,NA,Apple,otp-failed,9139
3/1/2024 8:40,3/1/2024 8:41,pending,,NA,Apple,otp-failed,9139
3/1/2024 9:13,3/1/2024 9:16,succeed,F,1994,Apple,account-creation,9139
3/1/2024 16:12,3/1/2024 16:16,succeed,F,1989,Apple,account-creation,9138
3/1/2024 10:04,3/1/2024 10:04,pending,,NA,Apple,otp-failed,9138
2/29/2024 13:10,2/29/2024 13:10,pending,,NA,Apple,otp-failed,9138
2/29/2024 15:48,2/29/2024 15:48,fail,,NA,Apple,ocr-failed,9138
2/29/2024 13:56,2/29/2024 14:00,succeed,F,1983,Nokia,account-creation,9137
2/29/2024 13:51,2/29/2024 13:51,pending,,NA,Apple,otp-failed,9136
2/29/2024 13:51,2/29/2024 13:52,fail,M,1992,Apple,ocr-failed,9136
2/29/2024 13:52,2/29/2024 13:55,succeed,M,1992,Apple,account-creation,9136
2/29/2024 13:49,2/29/2024 13:49,pending,,NA,samsung,otp-failed,9135
2/29/2024 13:47,2/29/2024 13:48,pending,,NA,samsung,otp-failed,9135
2/29/2024 13:50,2/29/2024 13:53,succeed,M,1994,samsung,account-creation,9135
3/1/2024 9:23,3/1/2024 9:26,fail,F,1998,Apple,ocr-failed,9134
3/1/2024 9:55,3/1/2024 9:56,fail,F,1998,Apple,ocr-failed,9134
3/1/2024 8:56,3/1/2024 8:57,fail,F,1998,Apple,ocr-failed,9134
3/1/2024 9:32,3/1/2024 9:33,fail,F,1998,Apple,ocr-failed,9134
3/1/2024 8:55,3/1/2024 8:55,fail,F,1998,Apple,ocr-failed,9134
3/1/2024 10:08,3/1/2024 10:10,fail,F,1998,Apple,ocr-failed,9134
2/29/2024 14:53,2/29/2024 14:53,pending,,NA,Apple,otp-failed,9134
2/29/2024 14:50,2/29/2024 14:50,pending,,NA,Apple,otp-failed,9134
